textid,words,sylls,ltrvec,perf,isrhymed
1870,god nod best breast farce scarce supplies prize joke smoke write bite style pile did confounded best jest slides sides tricks bricks stuff enough aid trade hand stand,od od est east arce arce ies ize oke oke ite ite yle ile id ounded est est ides ides icks icks uff ough aid ade and and,A A B B C C D D E E F F G G I J B B K K L L M M N N O O,1 1 1 1 1 1 0 0 1 1 1 1 0 1 1 0 1 1 1 1 0 0 1 1 1 1 1 1,1
1871,writ wit wall all more before so below found ground presume room shift fift frame name,it it all all ore ore o ow ound ound ume oom ift ift ame ame,A A B B C C D D E E F G H H I I,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1
1872,ran van round found by lie inquires spires spy goosepie throng long began van,an an ound ound y ie ires ires y ie ong ong an an,A A B B C C D D C C E E A A,1 1 1 1 1 1 0 0 1 1 1 1 1 1,1
1873,trail snail ease chaise wilt tilt all small isle pile feign again flame same size flies style pile power flower produce juice blast past overthrown own,ail ail ease aise ilt ilt all all isle ile eign ain ame ame ize ies yle ile er er uce uice ast ast own own,A A B C D D E E F F H H I I J J F F K K L L M M N N,1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 0 1 0 1 1 1 1,1
1874,tells cells quality hospitality,ells ells y y,A A B B,0 0 1 1,1
1875,night write trade masquerade rixham em pour hour skin in people creeple street seet,ight ite ade ade am em our our in in eople eeple eet eet,A A B B C D E E F F G H I I,1 1 1 1 1 1 1 1 1 1 0 0 1 1,1
1876,beast least lie dry cant grant said bed asleep keep way day one gone stocks mocks roar door said head sous house king thing leg beg trick stick,east east ie y ant ant aid ed eep eep ay ay one one ocks ocks oar oor aid ead ous ouse ing ing eg eg ick ick,A A B B C C D D E E F F G G H H I I D D J J K K L L M M,1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 0 1 0 1 0 1 1 1 1 1 1 1 1,1
1877,state rate past last yeman philemon invite night sire fire took hook side fryd batter platter fare spare fail ale,ate ate ast ast an on ite ight ire ire ook ook ide yd er er are are ail ale,A A B B C C D D E E F F G H I I J J K K,1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 0 1 1 1 1,1
1878,beer year consent vent brink drink draught wrought found round top drop sight fright wife life said afraid yours boors ground drownd rise eyes,eer ear ent ent ink ink aught ought ound ound op op ight ight ife ife aid aid urs ors ound ownd ise eyes,A A B B C C D D E E F F G G H H I I J K E L M N,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 1 0,1
1879,soft aloft rafter after higher spire hoist joist show below force course dwell bell,oft oft er er er ire oist oist ow ow orce ourse ell ell,A A B B B C D D E E F F G G,1 1 0 0 0 1 1 1 1 1 1 1 1 1,1
1880,almost roast feels wheels more slower feet seet powers hours jack back tried side grown alone reard adherd cares declares burn turn,ost oast els els ore er eet eet ers urs ack ack ied ide own one eard erd ares ares urn urn,A A B B C D E E F G H H I I J J K K L L M M,1 0 0 0 1 0 1 1 0 0 1 1 0 0 1 0 1 1 1 1 1 1,1
1881,crawl wall grew hue state prate name became row show changd rangd,awl all ew ue ate ate ame ame ow ow angd angd,A A B B C C D D E E F F,1 1 1 0 1 1 1 1 1 1 0 0,1
1882,wall mall hood wood letter better describe tribe mode load use pews keep sleep,all all ood ood er er ibe ibe ode oad use ews eep eep,A A B B C C D D E E F F G G,1 1 1 1 0 0 1 1 1 1 1 1 1 1,1
1883,these degrees host most while style desert part minute it days please,ese ees ost ost ile yle ert art ute it ays ease,A A B B C C D D E F G A,1 1 1 1 1 0 1 0 1 1 0 1,1
1884,feels heels list wrist just dust took look dues news town gown next text part heart fast last repine divine higher squire system em,els els ist ist ust ust ook ook ues ews own own ext ext art eart ast ast ine ine er uire em em,A A B B C C D D E F G G H H I I J J K K L M N N,0 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1,1
1885,parson on seen colberteen apace lace down gown surprise eyes prim him,on on een een ace ace own own ise eyes im im,A A B B C C A A D E F F,1 1 1 1 1 1 0 0 1 0 1 1,1
1886,life wife last past talk walk out sprout us jealous true too foot root,ife ife ast ast alk alk out out us ous ue oo oot oot,A A B B C C D D E E F F D D,1 1 1 1 1 1 1 1 1 1 1 1 0 0,1
1887,muse yews green seen night sight prayer there yew grew town down believd grievd stunted it,use ews een een ight ight yer ere yew ew own own ievd ievd unted it,A A B B C C D E F F H H I I J C,1 1 1 1 1 1 0 1 0 1 1 1 0 0 0 0,1
1888,tells cells quality hospitality,ells ells y y,A A B B,0 0 1 1,1
1889,night write trade masquerade went kent strain vain win in,ight ite ade ade ent ent ain ain in in,A A B B C C D D E E,1 1 1 1 1 1 1 1 1 1,1
1890,state rate past last yeman philemon invite night sire fire took hook side fryd drink brink round found top drop amazd gazd heart art view blue ont errand afraid said yours boors ground drownd rise eyes,ate ate ast ast an on ite ight ire ire ook ook ide yd ink ink ound ound op op azd azd eart art iew ue ont and aid aid urs ors ound ownd ise eyes,A A B B C C D D E E F F G H I I J J K K L L M M N O P Q R R S T J U V W,1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 0 1 1 0 1 1 1 1 1 0 0 1 0 1 0,1
1891,soft aloft rafter after higher spire hoist joist show below force course dwell bell,oft oft er er er ire oist oist ow ow orce ourse ell ell,A A B B B C D D E E F F G G,1 1 0 0 0 1 1 1 1 1 1 1 1 1,1
1892,almost roast feels wheels more slower feet seet power hour allyd side grown alone reard adherd cares declares burn turn crawl wall view grew,ost oast els els ore er eet eet er our yd ide own one eard erd ares ares urn urn awl all iew ew,A A B B C D E E D C F G H H I I J J K K L L M M,1 0 0 0 1 0 1 1 0 0 0 1 1 0 1 1 1 1 1 1 1 1 0 1,1
1893,row show changd rangd wall mall hood wood better letter describe tribe,ow ow angd angd all all ood ood er er ibe ibe,A A B B C C D D E E F F,1 1 0 0 1 1 1 1 0 0 1 1,1
1894,mode load use pews keep sleep these degrees host most while style fine mine ease please,ode oad use ews eep eep ese ees ost ost ile yle ine ine ease ease,A A B B C C D D E E F F G G D D,1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1,1
1895,feels heels believe sleeve grew hue just dust dues news next text part heart fast last repine divine system em,els els ieve eeve ew ue ust ust ues ews ext ext art eart ast ast ine ine em em,A A B B C C D D E F G G H H I I J J K K,0 0 1 0 1 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1,1
1896,parson on seen colberteen apace lace down gown surprise eyes prim him life wife last past talk walk out sprout us jealous,on on een een ace ace own own ise eyes im im ife ife ast ast alk alk out out us ous,A A B B C C A A D E F F G G H H I I J J K K,1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1,1
1897,true too foot root muse yews green seen night sight prayer there,ue oo oot oot use ews een een ight ight yer ere,A A C C D D E E F F G H,1 1 1 1 1 1 1 1 1 1 0 1,1
1898,yew grew town down believd grievd stunted it,yew ew own own ievd ievd unted it,A A C C D D E F,0 1 1 1 0 0 0 1,1
1899,play away regard card eye high lecture architecture smiled child kind mind,ay ay ard ard ye igh ure ure iled ild ind ind,A A B B C C D D E E F F,1 1 1 1 0 0 1 1 0 0 1 1,1
1900,play clay lurk work all wall took tablebook skilld build stairs theirs yards cards while pile found ground view grew run outdone,ay ay urk ork all all ook ook illd uild irs irs ards ards ile ile ound ound iew ew un one,A A B B C C D D E F G G H H I I J J K K M N,1 1 1 0 1 1 1 1 0 1 0 0 0 0 1 1 1 1 0 1 1 1,1
1901,these degrees reckond second show low him blenheim apart art in building year engineer,ese ees ond ond ow ow im eim art art in ing ear eer,A A B B C C D E F F G H I I,1 1 1 1 1 1 1 0 1 1 1 1 1 1,1
1902,guest jest dyd lyd die sky stars hearse appeard beard bed dead moon noon aries varies equator matter analogy astrology rise skies,est est yd yd ie y ars earse eard eard ed ead oon oon ies ies or er y y ise ies,A A B B C C D E F F G G H H I I J K C C I I,1 1 0 0 1 1 0 0 1 1 1 1 1 1 0 0 1 0 1 1 0 0,1
1903,ties eyes diadem them nowadays rays alliance science btes tis disputes boots heretofore wore corns shoeinghorns bears spheres geometry barometry weather leather use shoes,ies eyes em em ays ays iance ience es is utes ots ore ore orns orns ars eres y y er er use oes,A B C C D D E F G H I J K K L L M N O O P P Q Q,0 0 1 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 1 0 0 1 0,2
1904,parts arts rather leather night candlelight well cell far star spheres ears join malign aid made read dead divide side fell hell,arts arts er er ight ight ell ell ar ar eres ars oin ign aid ade ead ead ide ide ell ell,A A B B C C D D E E F G H I J J J J K K D D,0 0 0 0 1 1 1 1 1 1 0 0 1 1 1 1 0 0 1 1 1 1,1
1905,art part star are show below nights lights smoke choke sphere there hide dryd tax wax lends ends dart art wife paringknife side astride between thirteen,art art ar are ow ow ights ights oke oke ere ere ide yd ax ax ends ends art art ife ife ide ide een een,A A B B C C D D E E F F G H I I J J A A K K G G L L,1 1 1 0 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1,1
1906,back quack will still use shoes seek aweek print int tell well love above,ack uack ill ill use oes eek eek int int ell ell ove ove,A A B B C C D D E E F F G G,1 0 1 1 1 0 1 1 1 1 1 1 1 1,1
1907,hackneycoach approach flown own door floor airs stairs trace place deep chimneysweep meet street sees fees stands hands,oach oach own own oor oor irs irs ace ace eep eep eet eet ees ees ands ands,A A B B C C D D E E F F G G H H I I,1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 0,1
1908,hour shower oer more sink stink dine wine presage rage seen spleen wings flings contain again rope aslope quean clean stop mop strife life gust dust aid invade rain stain down town fly buy abroach coach strides sides led shed whigs wigs sits fits din within steed freed do through spear fear flow go tell smell force course ridge bridge,our er oer ore ink ink ine ine age age een een ings ings ain ain ope ope ean ean op op ife ife ust ust aid ade ain ain own own y uy oach oach ides ides ed ed igs igs its its in in eed eed o ough ear ear ow o ell ell orce ourse idge idge,A A B A C C D D E E F F G G H H I I F F I I J J K K L L H H M M N N O O P P L L Q Q R R D D L L S S T T S S U U V V W W,1 0 0 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1,1
1909,blood mud flood,ood ud ood,A A A,1 0 1,1
1910,inquire spire joe show blast overcast all fall round ground gravitation station pile stile knock shock calls walls,uire ire oe ow ast ast all all ound ound ion ion ile ile ock ock alls alls,A A C C D D E E F F G G H H I I J J,0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 0,1
1911,in chin whet met pass grass snout out crow low thought caught night alight roof hoof noddle model oven in,in in et et ass ass out out ow ow ought aught ight ight oof oof e el en in,A A B B C C D D E E F F G G H H I J K A,1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1,1
1912,verdict it about spout guessd rest room tomb by cry hand stand mild child kale ale,ict it out out uessd est oom omb y y and and ild ild ale ale,A B C C D E F F G G H H I I J J,1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1,1
1913,heat seat town crown pother another miss this sticks bricks,eat eat own own er er iss is icks icks,A A B B C C D D E E,1 1 1 1 0 0 1 0 0 0,1
1914,oer more spring sing display away here year dismay play,oer ore ing ing ay ay ere ear ay ay,A B C C D D E E D D,0 1 1 1 1 1 1 1 1 1,1
1915,around found maid betrayd made love above shame fame,ound ound aid ayd ade ove ove ame ame,A A B C B D D E E,1 1 1 0 1 1 1 1 1,1
1916,bestowd road green seen beau forego come plum,owd oad een een au o ome um,A B C C D E F F,0 1 1 1 0 1 1 0,2
1917,avail ale regale past waste throw go shine twine known crown,ail ale ale ast aste ow o ine ine own own,A A A B B C C D D E E,1 1 1 1 0 1 1 1 1 1 1,1
1918,distrest best grace place ware appear rest drest,est est ace ace are ear est est,A A B B C D A A,1 1 1 1 1 1 1 1,1
1919,fair air eye vie,air air ye ie,A A B B,1 1 0 0,1
1920,vain pain more before placed last,ain ain ore ore aced ast,A A B B C D,1 1 1 1 0 1,1
1921,plums gums more before,ums ums ore ore,A A B B,0 0 1 1,1
1922,tonight delight wine chine,ight ight ine ine,A A B B,1 1 1 1,1
1923,around resound on gone,ound ound on one,A A B B,1 1 1 0,1
1924,oer score day play notion motion love above care chair feather together,oer ore ay ay ion ion ove ove are air er er,A B C C D D E E F F G G,0 1 1 1 0 0 1 1 1 1 0 0,1
1925,carry harry wench french brute suit six mix great seat hat cravat shining lining kerry jerry due to,y y ench ench ute uit ix ix eat eat at at ing ing y y ue o,A A B B C C D D E E F F G G A A H I,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1
1926,alert pert pox fox bed head nail tail ninny guinea it placket cant mant duller colour mind kine,ert ert ox ox ed ead ail ail y ea it et ant ant er our ind ine,A A B B C C D D E E F G H H I J K L,1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1,1
1927,spare mare befriended ended doubt out vigour bigger,are are iended ended oubt out our er,A A B C D D E F,1 1 0 0 1 1 1 0,2
1928,employ joy admit wit thought taught yours amours arts parts enchant gallant reeld yield pursued prude view flew flight light overtake rake guess success true you pace face held excelld run son find mind discover lover claim fame crowd proud vain chain maid aid locks stocks viewd lewd light sight combined mind,oy oy it it ought aught urs urs arts arts ant ant eeld ield ued ude iew ew ight ight ake ake ess ess ue ou ace ace eld elld un on ind ind er er aim ame owd oud ain ain aid aid ocks ocks iewd ewd ight ight ined ind,A A B B C C D D E E F F G H I J K K B B M M N N K K O O P Q R R S S T T U U V W X X Y Y Z Z AA J B B S S,1 1 1 1 1 0 0 0 0 0 1 1 0 1 0 1 0 1 0 0 1 1 1 1 0 0 1 1 1 0 1 0 1 1 0 0 1 1 0 1 1 1 1 1 0 0 0 0 0 0 1 1,1
1929,arts hearts set coquette chuse refuse bestow below eyes skies best blessd morn born first durst fifteen seen retires fires queen mien came flame bright night find kind,arts arts et uette use use ow ow eyes ies est essd orn orn irst urst een een ires ires een ien ame ame ight ight ind ind,A A B C D D E E F G H I J J K K L L M M L L N N O O P P,0 0 1 0 1 1 1 1 0 0 1 0 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 1,1
1930,endud prude near ear placed waist bed head crowd loud fan man head red kneeling ceiling unaware bare,endud ude ear ear aced aist ed ead owd oud an an ead ed ing ing are are,A B C C D E F F G H I I F F J J C C,0 1 1 1 0 0 1 1 0 1 1 1 1 1 1 1 0 0,1
1931,came dame agreed feed bespoke broke in missing chid hid came shame say way sent went crop stop fled dead,ame ame eed eed oke oke in ing id id ame ame ay ay ent ent op op ed ead,A A B B C C D E B B A A G G H H I I B B,1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0,1
1932,do too gone john find behind sees fatherthese us fellows commonplaces cases fortuneteller her see degree forgiven heaven plain again sin kin poor door crime time life wife in recalling recover over her daughter muse pursues sort short bemird tird worse curse limb him leg peg,o oo one ohn ind ind ees ese us ows es es er er ee ee en en ain ain in in oor oor ime ime ife ife in ing er er er er use ues ort ort ird ird orse urse imb im eg eg,A A B C D D E E F G H H I I J J K K L L M M N N O O P P M Q I I I I F R S S T T U U O O W W,1 1 1 0 1 1 1 0 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1 1 0 1 0 1 1,1
1933,em em fawnd pawnd vows spouse trade paid gone john scarce farce justice hostess boar whore,em em awnd awnd ows ouse ade aid one ohn arce arce ice ess oar ore,A A B B C C D D E F G G H I J J,1 1 0 0 0 0 1 1 1 0 1 1 1 1 1 1,1
1934,breast best endure obscure conceal weal lies advise frame same fraud awed abstains chains own overgrown knows bestows divine repine shun run defend friend,east est ure ure eal eal ies ise ame ame aud awed ins ins own own ows ows ine ine un un end iend,A A B B C C D D E E F F G G H H I I J J K K L L,1 0 1 1 1 1 0 0 1 1 1 1 0 0 1 1 0 0 1 1 1 1 1 0,1
1935,own known taught sought blind behind more before bestows prose sublime rhyme,own own aught ought ind ind ore ore ows ose ime yme,A A B B C C D D E E F F,1 1 1 1 1 1 1 1 0 0 1 1,1
1936,fit wit wind defined meant invent tribe describe part art quite delight wild spoild got not refine combine well excel displays praise rule ridicule air fair intends commends,it it ind ined eant ent ibe ibe art art uite ight ild oild ot ot ine ine ell el ays aise ule ule air air ends ends,A A B B C C D D E E F A G H I I J J K K L L M M N N O O,1 1 1 1 0 1 1 1 1 1 0 0 1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1,1
1937,beau show lace place mankind refined abstruse abuse rail ale bears ears tribe gibe down town rub club car jar steed breed leigh repartee,au ow ace ace ind ined use use ail ale ars ars ibe ibe own own ub ub ar ar eed eed eigh ee,A B C C D D E E F F G G H H I I J J K K L L M M,0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 0,1
1938,unspoke joke friend mend sense offence fret met lost cost teazed pleased view you far war shame blame jest test known own,oke oke iend end ense ence et et ost ost eazed eased iew ou ar ar ame ame est est own own,A A B B C C D D E E F G H I J J K K L L M M,1 1 1 1 0 0 1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 1,1
1939,write light design mine wit fit rounds bounds nice advice right polite care spare suppose nose jest best voitures yours thence offence accuse muse him him,ite ight ign ine it it unds unds ice ice ight ite are are ose ose est est ures urs ence ence use use im im,A A B B A A C C D D A A E E F F G G H I J J K K L L,1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1,1
1940,tamer demar pound underground possesst chest know below cloak folk palms alms pelf himself betters debtors nation obligation,er ar ound ound esst est ow ow oak olk alms alms elf elf ers ors ion ion,A B C C D E F F G H I I J J K L M M,0 1 1 1 0 1 1 1 1 0 0 0 1 1 0 0 0 0,2
1941,bought groat save grave right light friend spend pot shot disease seize spight light fail scale strange change bestow now be mortality,ought oat ave ave ight ight iend end ot ot ease eize ight ight ail ale ange ange ow ow e y,A B C C D D E E A A F F D D G G H H I I J J,1 1 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 0,1
1942,lies wise rest chest say lay kind behind five alive,ies ise est est ay ay ind ind ive ive,A A B B C C D D E E,0 0 1 1 1 1 1 1 1 1,1
1943,spouse allows due you find mankind,ouse ows ue ou ind ind,A A B C D D,1 1 1 0 1 1,1
1944,cheated treated dine wine eat meat blest request trouble double,eated eated ine ine eat eat est est ouble ouble,A A B B C C D D E E,0 0 1 1 1 1 1 1 0 0,1
1945,bestowd owed confessing blessing chouse house thence thexpense treat meat dine wine,owd owed ing ing ouse ouse ence ense eat eat ine ine,A B C C D D E E F F G G,0 0 1 1 1 1 1 1 1 1 1 1,1
1946,know below told gold it it shine vine relief beef lubbards cupboards think drink allowd crowd college knowledge admit wit freedom em stalls walls,ow ow old old it it ine ine ief eef ards ards ink ink owd owd ege edge it it om em alls alls,A A B B C C D D E E F F G G H H I J C C K L M M,1 1 1 1 1 1 1 1 1 1 0 0 1 1 0 0 0 1 1 1 1 1 0 0,1
1947,delany any grace place came name glass pass utensil pencil write light oath both aiding reading noonday grey know ago endued prude intent went pane again line mine seen green shown own shy by it it dark mark dare ware sash lash sorrow tomorrow spread read,y y ace ace ame ame ass ass il il ite ight oath oth ing ing ay ey ow o ued ude ent ent ane ain ine ine een een own own y y it it ark ark are are ash ash ow ow ead ead,A A B B C C B B D D E E F F G G H H I I J K L L M M N N M M O O A A E E P P Q Q R R I I S S,1 1 1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1,1
1948,refusal usual intend friend find mind time rhyme parnassus us trick nick topics tropics zone own swallow apollo object correct expressd dressd repentance sentence sire fire spleen seen degree me displeasure measure prime time diseases pleases lover over,al ual end iend ind ind ime yme us us ick ick ics ics one own ow o ect ect essd essd ance ence ire ire een een ee e ure ure ime ime es es er er,A B C C D D E E F F G G H H I I J J K K L L M N O O P P Q Q R R E E S S T T,1 0 1 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 1 1 1 0 0 0 0,1
1949,twentyseventh eleventh know below inherit merit case place debate fate rose compose bard heard translation transmigration me agree fool school time rhyme you you complaind disdaind writ wit voice choice try deny desire higher succeeding breeding him him discard reward advance france state great translator versificator merit spirit truth youth aside preside greets streets before soar confess success spirit merit writ wit ease praise due new explore store see me lays rays drift swift care there undone son do too,enth enth ow ow it it ase ace ate ate ose ose ard eard ion ion e ee ool ool ime yme ou ou aind aind it it oice oice y y ire er ing ing im im ard ard ance ance ate eat or or it it uth outh ide ide ets ets ore oar ess ess it it it it ease aise ue ew ore ore ee e ays ays ift ift are ere one on o oo,A A B B C C D D E E F F G H I I J J K K L L B B N N C C O O J J P Q R R L L G G S S E E T T C C U V W W X X T T D D C C C C D D M M T T J J D D Z Z AA AA AB AB B B,1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 0 0 0 1 1 1 1 0 0 1 0 1 1 0 0 1 1 1 1 1 0 1 1 1 1 0 1 1 1 0 0 0 0 0 0 1 1 1 1 0 0 1 1 0 0 1 1 0 0 1 1 1 1 1 0 1 1,1
1950,sway obey way,ay ey ay,A A A,1 1 1,1
1951,taste traced begun sun nile isle air spare grander salamander,aste aced un un ile isle air are er er,A A B B C C D D E E,1 1 1 1 1 0 1 1 0 0,1
1952,say day milkyway,ay ay ay,A A A,1 1 1,1
1953,doubt out more soar rant cant grace race be simplicity,oubt out ore oar ant ant ace ace e y,A A B B C C D D E E,1 1 1 1 1 1 1 1 1 0,1
1954,flight secondsight light,ight ight ight,A A A,1 1 1,1
1955,rise skies there hair eternize skies,ise ies ere air ize ies,A A B B A A,1 1 1 0 1 1,1
1956,done addison praise days skill hill hear clear addressd protest strains reins girl pearl,one on aise ays ill ill ear ear essd est ins ins irl earl,A A B B C C D D E F G G H H,1 0 1 1 1 1 1 1 0 1 0 0 1 0,1
1957,another mother fly eye cloyd floyd roam home hand land,er er y ye oyd oyd oam ome and and,A A B B C C D D E E,0 0 1 1 0 0 1 1 1 1,1
1958,grace race divine line dame fame aid maid call donegal,ace ace ine ine ame ame aid aid all al,A A B B C C D D E E,1 1 1 1 1 1 1 1 1 0,1
1959,fare forgot there not,are ot ere ot,A B A B,1 1 1 1,1
1960,keep dine sheep swine,eep ine eep ine,A B A B,1 1 1 1,1
1961,feast up least cup,east up east up,A B A B,1 1 1 1,1
1962,sport light sort night,ort ight ort ight,A B A B,1 1 1 1,1
1963,trickd broke pickd cloak,ickd oke ickd oak,A B A B,0 1 0 1,1
1964,nell kercher well searcher,ell er ell er,A B A B,1 0 1 0,1
1965,up favour cup savour,up our up our,A B A B,1 1 1 1,1
1966,boys matter noise clatter,oys er oise er,A B A B,0 0 0 0,1
1967,nest tarry drest avemary,est y est y,A B A B,1 1 1 1,1
1968,round ramping ground stamping,ound ing ound ing,A B A B,1 1 1 1,1
1969,wet jumps sweat pumps,et umps eat umps,A B A B,1 0 1 0,1
1970,early oenagin rarely grinagin,y in y in,A B A B,1 1 1 1,1
1971,bed feet spread sheet,ed eet ead eet,A B A B,1 1 1 1,1
1972,flinch again pinch yean,inch ain inch ean,A B A B,1 1 1 0,1
1973,sight cheer fight beer,ight eer ight eer,A B A B,1 1 1 1,1
1974,feast brains least skeans,east ins east ans,A B A C,1 0 1 0,2
1975,cuts sticks guts kicks,uts icks uts icks,A B A B,0 0 0 0,1
1976,oak flame broke lame,oak ame oke ame,A B A B,1 1 1 1,1
1977,maintain lusk slane drumrusk,ain usk ane usk,A B A B,1 1 1 1,1
1978,kildare brother are mother,are er are er,A B A B,1 0 1 0,1
1979,madam who adam true,am o am ue,A B A B,1 1 1 0,1
1980,beam scarce weam ase,eam arce eam ase,A B A C,1 1 1 1,2
1981,bed disgrace red face,ed ace ed ace,A B A B,1 1 1 1,1
1982,high appears sky clears,igh ars y ars,A B A B,1 0 1 0,1
1983,moon run soon undone,oon un oon one,A A A A,1 0 1 0,1
1984,rise steam eyes blaspheme,ise eam eyes eme,A B C B,1 1 0 1,2
1985,wont jet front sweat,ont et ont eat,A B A B,1 1 1 1,1
1986,white place light face,ite ace ight ace,A B A B,1 1 1 1,1
1987,slips rose lips nose,ips ose ips ose,A B A B,0 1 0 1,1
1988,bed sound red ground,ed ound ed ound,A B A B,1 1 1 1,1
1989,confined seeks behind cheeks,ined eks ind eks,A B A B,0 0 0 0,1
1990,cracks sweat tracks meet,acks eat acks eet,A B A B,0 1 0 1,1
1991,thumb anoints come joints,umb ints ome ints,A B A B,0 0 1 0,1
1992,reduce brush use blush,uce ush use ush,A B A B,1 1 0 1,1
1993,more stands adore hands,ore ands ore ands,A B A B,1 0 1 0,1
1994,hours sex powers effects,urs ex ers ects,A B C D,0 1 0 0,0
1995,kind wish find dish,ind ish ind ish,A B A B,1 1 1 1,1
1996,wings repair things chinaware,ings air ings are,A B A B,0 1 0 1,1
1997,sash sphere rash near,ash ere ash ear,A B A B,1 1 1 1,1
1998,star sight far night,ar ight ar ight,A B A B,1 1 1 1,1
1999,by chair cry fair,y air y air,A B A B,1 1 1 1,1
2000,prevail gone fail upon,ail one ail on,A B A B,1 1 1 0,1
2001,say subsist they grist,ay ist ey ist,A B A B,1 1 1 1,1
2002,case maintain face wane,ase ain ace ane,A B A B,1 1 1 1,1
2003,cause decay claws way,ause ay aws ay,A B A B,1 1 1 1,1
2004,profound show sound foe,ound ow ound oe,A B A B,1 1 1 1,1
2005,will thin skill chin,ill in ill in,A B A B,1 1 1 1,1
2006,discreet head street abed,eet ead eet abed,A B A C,1 1 1 0,2
2007,fate race date face,ate ace ate ace,A B A B,1 1 1 1,1
2008,mows vain nose again,ows ain ose ain,A B A B,0 1 0 1,1
2009,eyes cleft supplies left,eyes eft ies eft,A B C B,0 1 0 1,2
2010,preside soon supplied moon,ide oon ied oon,A B A B,1 1 1 1,1
2011,fiftytwo woo girl earl consent went queen seen scarce his muses excuses porch torch train rain place face meant spent right night figure vigour grace face pippin keeping,o oo irl earl ent ent een een arce is es es orch orch ain ain ace ace eant ent ight ight ure our ace ace in ing,A A B B C C D D E F G G H H I I J J C C K K L L J J D M,1 1 1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 1 0 1 1 0 1,1
2012,pair fair forget coquette start part binds minds fears years soon noon books looks ear wear make sake counts amounts say day disguise eyes shops fops maids brocades oer four said head one gone hold household place lace brain vain cares airs dues shoes divine fine beside pride adore more,air air et uette art art inds inds ars ars oon oon oks oks ear ear ake ake unts unts ay ay uise eyes ops ops ids ades oer our aid ead one one old old ace ace ain ain ares irs ues oes ine ine ide ide ore ore,A A B C D D E E F F G G H H A A I I J J K K L M N N O P Q R S S G G T T U U V V W X Y Z AA AA AB AB R R,1 1 1 0 1 1 0 0 0 0 1 1 0 0 1 1 1 1 0 0 1 1 1 0 0 0 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 0 0 0 1 1 1 1 0 0,1
2013,condescend end nose clothes pray play divine nine ball wall stairs prayers rest best din in two ado afternoon soon sayt late,end end ose othes ay ay ine ine all all irs ers est est in in o o oon oon ayt ate,A A B C D D E E F F G H I I E E J J K K L M,1 1 1 0 1 1 1 1 1 1 0 0 1 1 0 0 1 1 1 1 0 1,1
